State,"Rate Per 100,000"
Arkansas 1.,66.68
Oklahoma 2.,65.85
Kentucky 3.,64.53
West Virginia 4.,64.26
Mississippi 5.,58.26
Alabama 6.,57.78
Tennessee 7.,57.44
Indiana 8.,55.17
Wyoming 9.,53.78
Montana 10.,53.51
Nebraska 11.,52.59
Kansas 12.,51.73
Missouri 13.,50.66
Nevada 14.,49.99
Maine 15.,48.69
Ohio 16.,48.47
South Carolina 17.,47.92
Idaho 18.,47.25
Louisiana 19.,46.61
Iowa 20.,46.46
Georgia 21.,46.22
Colorado 22.,45.58
North Carolina 23.,45.34
South Dakota 24.,45.32
Michigan 25.,44.31
New Mexico 26.,44.18
Vermont 27.,43.04
New Hampshire 28.,42.99
Arizona 29.,42.67
Delaware 30.,40.75
Texas 31.,40.53
Oregon 32.,39.71
Florida 33.,38.96
Wisconsin 34.,38.31
North Dakota 35.,38.26
Washington 36.,38.05
Illinois 37.,37.6
Pennsylvania 38.,37.09
Minnesota 39.,36.31
Rhode Island 40.,36.22
Alaska 41.,35.9
Virginia 42.,34.94
Massachusetts 43.,32.45
California 44.,32.17
Utah 45.,32.1
Connecticut 46.,30.42
Maryland 47.,29.89
New York 48.,28.86
New Jersey 49.,28.64
Wash DC 50.,19.64
Hawaii 51.,18.97
