State,"Rate Per 100,000"
Oklahoma 1.,237.19
Mississippi 2.,231.56
Arkansas 3.,223.76
Alabama 4.,223.18
Louisiana 5.,214.43
Tennessee 6.,202.19
Nevada 7.,199.31
Michigan 8.,196.08
Kentucky 9.,195.88
West Virginia 10.,191.98
Missouri 11.,191.12
Wash DC 12.,189.77
Ohio 13.,186.19
Indiana 14.,183.23
Pennsylvania 15.,176.03
Georgia 16.,175.77
South Carolina 17.,172
New York 18.,171.23
Texas 19.,169.15
Iowa 20.,167.37
Maryland 21.,164.53
Illinois 22.,163.28
Idaho 23.,162.45
New Jersey 24.,162.29
Delaware 25.,158.36
Kansas 26.,157.95
Wisconsin 27.,157.64
North Carolina 28.,156.51
Rhode Island 29.,155.72
Montana 30.,155.01
Virginia 31.,154.54
Vermont 32.,152.47
New Mexico 33.,151.41
Utah 34.,150.23
South Dakota 35.,150.08
New Hampshire 36.,149.67
Nebraska 37.,149.33
Wyoming 38.,148.95
Florida 39.,145.8
Maine 40.,143.48
California 41.,142.87
Arizona 42.,141.87
Connecticut 43.,141.62
Washington 44.,138.81
North Dakota 45.,137.76
Alaska 46.,135.04
Massachusetts 47.,134.65
Oregon 48.,133.96
Hawaii 49.,129.78
Colorado 50.,122.66
Minnesota 51.,119.14
