State,"Rate Per 100,000"
West Virginia 1.,71.7 %
Oklahoma 2.,70.6 %
Arkansas 3.,70.5 %
Alabama 4.,70.2 %
Iowa 5.,70.1 %
Louisiana 6.,70.0 %
Mississippi 7.,69.9 %
Texas 8.,69.4 %
North Dakota 9.,69.4 %
Nebraska 10.,69.0 %
Delaware 11.,68.5 %
Tennessee 12.,68.3 %
South Carolina 13.,68.1 %
Indiana 14.,68.0 %
Ohio 15.,68.0 %
Missouri 16.,67.8 %
Kentucky 17.,67.8 %
South Dakota 18.,67.7 %
Wisconsin 19.,67.3 %
Kansas 20.,67.2 %
Michigan 21.,67.2 %
Pennsylvania 22.,67.1 %
North Carolina 23.,66.9 %
Alaska 24.,66.7 %
Virginia 25.,66.3 %
Maryland 26.,66.2 %
Idaho 27.,65.9 %
Illinois 28.,65.8 %
Nevada 29.,65.7 %
Georgia 30.,65.3 %
New Mexico 31.,65.2 %
Maine 32.,65.1 %
Minnesota 33.,64.9 %
New Hampshire 34.,64.9 %
Rhode Island 35.,64.9 %
Arizona 36.,64.8 %
Wyoming 37.,64.7 %
Oregon 38.,64.5 %
Florida 39.,64.1 %
Connecticut 40.,63.2 %
Vermont 41.,62.6 %
New Jersey 42.,62.6 %
Washington 43.,62.2 %
Montana 44.,62.2 %
Massachusetts 45.,61.4 %
New York 46.,61.3 %
California 47.,60.9 %
Utah 48.,60.6 %
Hawaii 49.,58.8 %
Colorado 50.,58.7 %
Wash DC 51.,53.9 %
