State,"Rate Per 100,000"
Washington 1.,80.8 %
Colorado 2.,80.5 %
California 3.,80.0 %
Alaska 4.,79.4 %
Utah 5.,78.9 %
Oregon 6.,78.6 %
Vermont 7.,78.4 %
Wisconsin 8.,77.6 %
Wash DC 9.,77.0 %
Hawaii 10.,76.5 %
New Hampshire 11.,76.1 %
Illinois 12.,76.0 %
Connecticut 13.,76.0 %
Idaho 14.,75.8 %
New Mexico 15.,75.5 %
Minnesota 16.,75.4 %
Massachusetts 17.,75.2 %
South Dakota 18.,75.1 %
Pennsylvania 19.,75.1 %
Iowa 20.,75.0 %
Montana 21.,75.0 %
Arizona 22.,74.9 %
Maine 23.,74.8 %
Nebraska 24.,74.6 %
North Carolina 25.,74.4 %
Maryland 26.,74.4 %
Wyoming 27.,74.3 %
Virginia 28.,74.1 %
Rhode Island 29.,73.7 %
Michigan 30.,72.8 %
New York 31.,72.8 %
North Dakota 32.,72.4 %
Kansas 33.,72.1 %
Nevada 34.,72.0 %
South Carolina 35.,71.6 %
New Jersey 36.,71.0 %
Missouri 37.,70.8 %
Florida 38.,70.8 %
Ohio 39.,70.4 %
Indiana 40.,70.2 %
Tennessee 41.,69.4 %
Georgia 42.,69.0 %
Delaware 43.,69.0 %
West Virginia 44.,68.4 %
Louisiana 45.,68.2 %
Alabama 46.,68.0 %
Texas 47.,67.9 %
Oklahoma 48.,67.6 %
Arkansas 49.,67.5 %
Mississippi 50.,66.8 %
Kentucky 51.,65.6 %
