State,"Rate Per 100,000"
Kentucky 1.,185.72
Mississippi 2.,183.09
West Virginia 3.,179.44
Oklahoma 4.,177.25
Louisiana 5.,174.88
Arkansas 6.,173.63
Tennessee 7.,173.42
Ohio 8.,171.23
Maine 9.,170.8
Alabama 10.,170.02
Indiana 11.,169.96
Missouri 12.,167.25
Vermont 13.,164.5
South Carolina 14.,162.72
Michigan 15.,161.31
Pennsylvania 16.,161.04
Delaware 17.,160.44
Iowa 18.,157.98
Illinois 19.,157.94
Kansas 20.,157.15
North Carolina 21.,157.09
South Dakota 22.,156.86
Nevada 23.,155.28
Georgia 24.,154.88
Rhode Island 25.,154.17
Oregon 26.,154.15
New Hampshire 27.,153.45
Wisconsin 28.,153.23
Idaho 29.,153.21
Wash DC 30.,152.81
Nebraska 31.,152.64
Montana 32.,152.6
Virginia 33.,152.55
Maryland 34.,151.45
Massachusetts 35.,149.33
Washington 36.,148.42
Minnesota 37.,146.78
Texas 38.,146.54
Florida 39.,145.93
New Jersey 40.,144.63
North Dakota 41.,142.6
New York 42.,141.15
Connecticut 43.,139.55
Alaska 44.,139.22
New Mexico 45.,138.3
California 46.,136.75
Wyoming 47.,136.12
Arizona 48.,135.75
Colorado 49.,130.95
Hawaii 50.,128.59
Utah 51.,120.33
