State,"Rate Per 100,000"
Mississippi 1.,15.84
West Virginia 2.,13.05
California 3.,12.77
Arizona 4.,11.68
Georgia 5.,11.6
Wash DC 6.,11.43
Nebraska 7.,11.29
Arkansas 8.,10.97
North Dakota 9.,10.72
Oregon 10.,10.6
Oklahoma 11.,10.47
New York 12.,10.41
Indiana 13.,10.27
Nevada 14.,9.65
South Carolina 15.,9.55
Tennessee 16.,9.25
Ohio 17.,9.14
Vermont 18.,9.13
Alabama 19.,9.12
Iowa 20.,9.07
Missouri 21.,9
Texas 22.,8.71
South Dakota 23.,8.7
Kentucky 24.,8.48
Illinois 25.,8.43
Florida 26.,8.28
Minnesota 27.,8.27
Maryland 28.,8.26
North Carolina 29.,8.01
Washington 30.,7.72
Michigan 31.,7.3
Kansas 32.,7.18
Virginia 33.,7.15
Louisiana 34.,7.1
Connecticut 35.,6.98
New Jersey 36.,6.96
Utah 37.,6.89
Massachusetts 38.,6.87
Montana 39.,6.81
Wisconsin 40.,6.59
Alaska 41.,6.57
Rhode Island 42.,6.28
Hawaii 43.,6.12
New Mexico 44.,6.09
Maine 45.,6.05
New Hampshire 46.,5.57
Pennsylvania 47.,5.52
Colorado 48.,5.22
Idaho 49.,4.97
Wyoming 50.,4.18
Delaware 51.,4.06
