State,"Rate Per 100,000"
Hawaii 1.,29.64
Mississippi 2.,22.96
Tennessee 3.,21.29
Alabama 4.,20.2
Arkansas 5.,19.78
Nevada 6.,19.59
South Dakota 7.,18.96
West Virginia 8.,18.16
Kentucky 9.,18.07
New York 10.,17.66
North Carolina 11.,17.54
Wyoming 12.,17.51
Missouri 13.,16.71
Nebraska 14.,16.15
Massachusetts 15.,15.87
Illinois 16.,15.61
North Dakota 17.,15.27
Maine 18.,15.18
Louisiana 19.,15.11
Kansas 20.,14.97
Ohio 21.,14.92
Delaware 22.,14.87
Pennsylvania 23.,14.59
California 24.,14.58
Michigan 25.,14.19
Maryland 26.,14.04
Oklahoma 27.,13.9
Rhode Island 28.,13.86
Indiana 29.,13.78
Georgia 30.,13.76
Idaho 31.,13.72
New Mexico 32.,13.62
Montana 33.,13.35
Utah 34.,13.34
Iowa 35.,13.15
New Hampshire 36.,13.14
Connecticut 37.,13.09
Virginia 38.,13.08
Wisconsin 39.,12.94
Washington 40.,12.6
South Carolina 41.,12.28
Alaska 42.,11.71
New Jersey 43.,11.66
Wash DC 44.,11.42
Texas 45.,11.23
Oregon 46.,11.12
Arizona 47.,10.13
Colorado 48.,10.12
Minnesota 49.,9.92
Vermont 50.,9.67
Florida 51.,9.63
